Movie Pair,Character 1,Character 2,Jaccard,Cosine
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Albus Dumbledore , Imperial Stormtroopers,0.0,0.23655641078948975
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Albus Dumbledore , Owen Lars,0.0,0.4135167598724365
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Albus Dumbledore , Beru Lars,0.0,0.5390917062759399
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Albus Dumbledore , Jawas,0.0,0.2503833770751953
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Albus Dumbledore , Jabba the Hutt,0.0,0.3365163803100586
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Minerva McGonagall , Princess Leia Organa,0.0,0.26989251375198364
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Minerva McGonagall , Luke Skywalker,0.0,0.47531044483184814
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Minerva McGonagall , Obi-Wan Kenobi,0.0,0.8467833995819092
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Minerva McGonagall , Han Solo,0.0,0.3226056396961212
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Minerva McGonagall , Chewbacca,0.0,0.8185610175132751
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Minerva McGonagall , R2-D2,0.0,0.8467833995819092
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Minerva McGonagall , C-3PO,0.0,0.27952924370765686
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Minerva McGonagall , Darth Vader,0.0,0.25696274638175964
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Minerva McGonagall , Grand Moff Tarkin,0.0,0.3810417354106903
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Minerva McGonagall , Imperial Stormtroopers,0.0,0.23679152131080627
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Minerva McGonagall , Owen Lars,0.0,0.4165148138999939
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Minerva McGonagall , Beru Lars,0.0,0.8467833995819092
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Minerva McGonagall , Jawas,0.0,0.20993900299072266
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Minerva McGonagall , Jabba the Hutt,0.0,0.30173978209495544
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Rubeus Hagrid , Princess Leia Organa,0.0,0.8433464765548706
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Rubeus Hagrid , Luke Skywalker,0.0,0.26991623640060425
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Rubeus Hagrid , Obi-Wan Kenobi,0.14285714285714285,1.000000238418579
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Rubeus Hagrid , Han Solo,0.0,0.5953396558761597
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Rubeus Hagrid , Chewbacca,0.058823529411764705,1.0000001192092896
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Rubeus Hagrid , R2-D2,0.058823529411764705,1.000000238418579
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Rubeus Hagrid , C-3PO,0.0,0.4055970311164856
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Rubeus Hagrid , Darth Vader,0.0,0.24394789338111877
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Rubeus Hagrid , Grand Moff Tarkin,0.0,0.46268147230148315
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Rubeus Hagrid , Imperial Stormtroopers,0.0,0.2755625247955322
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Rubeus Hagrid , Owen Lars,0.0,0.42908209562301636
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Rubeus Hagrid , Beru Lars,0.058823529411764705,1.000000238418579
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Rubeus Hagrid , Jawas,0.0,0.46268147230148315
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Rubeus Hagrid , Jabba the Hutt,0.0,0.31224143505096436
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Severus Snape , Princess Leia Organa,0.0,0.2521974444389343
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Severus Snape , Luke Skywalker,0.0,0.49795109033584595
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Severus Snape , Obi-Wan Kenobi,0.0,0.5686346292495728
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Severus Snape , Han Solo,0.0,0.2954890727996826
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Severus Snape , Chewbacca,0.0,0.27570676803588867
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Severus Snape , R2-D2,0.0,0.5686346292495728
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Severus Snape , C-3PO,0.0,0.28569746017456055
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Severus Snape , Darth Vader,0.0,0.6246984004974365
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Severus Snape , Grand Moff Tarkin,0.0,0.3000560998916626
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Severus Snape , Imperial Stormtroopers,0.0,0.3381112217903137
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Severus Snape , Owen Lars,0.0,0.3434763550758362
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Severus Snape , Beru Lars,0.0,0.5686346292495728
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Severus Snape , Jawas,0.0,0.3381112217903137
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Severus Snape , Jabba the Hutt,0.0,0.3333076238632202
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Quirinus Quirrell , Princess Leia Organa,0.0,0.391711562871933
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Quirinus Quirrell , Luke Skywalker,0.0,0.5065455436706543
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Quirinus Quirrell , Obi-Wan Kenobi,0.0,0.34549328684806824
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Quirinus Quirrell , Han Solo,0.0,0.3270062208175659
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Quirinus Quirrell , Chewbacca,0.0,0.3259020447731018
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Quirinus Quirrell , R2-D2,0.0,0.34411168098449707
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Quirinus Quirrell , C-3PO,0.0,0.2656739056110382
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Quirinus Quirrell , Darth Vader,0.0,1.0
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Quirinus Quirrell , Grand Moff Tarkin,0.0,1.0
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Quirinus Quirrell , Imperial Stormtroopers,0.0,0.3258635103702545
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Quirinus Quirrell , Owen Lars,0.0,0.4951823949813843
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Quirinus Quirrell , Beru Lars,0.0,1.0
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Quirinus Quirrell , Jawas,0.0,0.28258955478668213
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Quirinus Quirrell , Jabba the Hutt,0.0,0.8542475700378418
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Petunia Dursley , Princess Leia Organa,0.0,0.5292915105819702
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Petunia Dursley , Luke Skywalker,0.0,0.671967625617981
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Petunia Dursley , Obi-Wan Kenobi,0.0,0.6504969596862793
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Petunia Dursley , Han Solo,0.0,0.6842770576477051
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Petunia Dursley , Chewbacca,0.0,0.5776766538619995
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Petunia Dursley , R2-D2,0.0,0.42908209562301636
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Petunia Dursley , C-3PO,0.0,0.2572114169597626
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Petunia Dursley , Darth Vader,0.0,0.6679761409759521
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Petunia Dursley , Grand Moff Tarkin,0.0,0.6174928545951843
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Petunia Dursley , Imperial Stormtroopers,0.0,0.6921647191047668
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Petunia Dursley , Owen Lars,0.058823529411764705,1.0000001192092896
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Petunia Dursley , Beru Lars,0.058823529411764705,1.0000001192092896
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Petunia Dursley , Jawas,0.0,0.5993698835372925
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Petunia Dursley , Jabba the Hutt,0.0,0.3882373571395874
Harry Potter and the Philosopher's Stone (film) vs A New Hope,James Potter , Princess Leia Organa,0.0,1.0
Harry Potter and the Philosopher's Stone (film) vs A New Hope,James Potter , Luke Skywalker,0.0,0.6311824917793274
Harry Potter and the Philosopher's Stone (film) vs A New Hope,James Potter , Obi-Wan Kenobi,0.0,0.9178641438484192
Harry Potter and the Philosopher's Stone (film) vs A New Hope,James Potter , Han Solo,0.0,0.7244482040405273
Harry Potter and the Philosopher's Stone (film) vs A New Hope,James Potter , Chewbacca,0.0,0.6993691921234131
Harry Potter and the Philosopher's Stone (film) vs A New Hope,James Potter , R2-D2,0.0,0.34552639722824097
Harry Potter and the Philosopher's Stone (film) vs A New Hope,James Potter , C-3PO,0.0,0.28639477491378784
Harry Potter and the Philosopher's Stone (film) vs A New Hope,James Potter , Darth Vader,0.0,1.0
Harry Potter and the Philosopher's Stone (film) vs A New Hope,James Potter , Grand Moff Tarkin,0.0,1.0
Harry Potter and the Philosopher's Stone (film) vs A New Hope,James Potter , Imperial Stormtroopers,0.0,0.712978720664978
Harry Potter and the Philosopher's Stone (film) vs A New Hope,James Potter , Owen Lars,0.0,0.4791831374168396
Harry Potter and the Philosopher's Stone (film) vs A New Hope,James Potter , Beru Lars,0.0,0.6042448282241821
Harry Potter and the Philosopher's Stone (film) vs A New Hope,James Potter , Jawas,0.0,0.6641485095024109
Harry Potter and the Philosopher's Stone (film) vs A New Hope,James Potter , Jabba the Hutt,0.0,1.0
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Lily Potter , Princess Leia Organa,0.0,0.6214826107025146
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Lily Potter , Luke Skywalker,0.0,0.5892125368118286
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Lily Potter , Obi-Wan Kenobi,0.0,0.7508267164230347
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Lily Potter , Han Solo,0.0,0.6746628284454346
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Lily Potter , Chewbacca,0.0,0.721522331237793
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Lily Potter , R2-D2,0.0,0.2630894184112549
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Lily Potter , C-3PO,0.0,0.28208526968955994
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Lily Potter , Darth Vader,0.0,0.6227467060089111
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Lily Potter , Grand Moff Tarkin,0.0,0.6214826107025146
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Lily Potter , Imperial Stormtroopers,0.0,0.6456162929534912
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Lily Potter , Owen Lars,0.0,0.5517592430114746
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Lily Potter , Beru Lars,0.0,0.5748201608657837
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Lily Potter , Jawas,0.0,0.6140140295028687
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Lily Potter , Jabba the Hutt,0.0,0.6214826107025146
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Lord Voldemort , Princess Leia Organa,0.0,0.621677041053772
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Lord Voldemort , Luke Skywalker,0.0,0.6517907381057739
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Lord Voldemort , Obi-Wan Kenobi,0.0,0.671917736530304
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Lord Voldemort , Han Solo,0.0,0.6690088510513306
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Lord Voldemort , Chewbacca,0.0,0.6019262075424194
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Lord Voldemort , R2-D2,0.0,0.29481980204582214
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Lord Voldemort , C-3PO,0.0,0.3218843936920166
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Lord Voldemort , Darth Vader,0.058823529411764705,1.000000238418579
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Lord Voldemort , Grand Moff Tarkin,0.058823529411764705,1.0
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Lord Voldemort , Imperial Stormtroopers,0.0,0.7214576601982117
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Lord Voldemort , Owen Lars,0.0,0.5936472415924072
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Lord Voldemort , Beru Lars,0.0,0.6679761409759521
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Lord Voldemort , Jawas,0.0,0.5545304417610168
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Lord Voldemort , Jabba the Hutt,0.0,0.8542475700378418
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Draco Malfoy , Princess Leia Organa,0.0,0.5055301189422607
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Draco Malfoy , Luke Skywalker,0.0,0.4107697606086731
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Draco Malfoy , Obi-Wan Kenobi,0.0,0.38957762718200684
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Draco Malfoy , Han Solo,0.0,0.38262858986854553
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Draco Malfoy , Chewbacca,0.0,0.37230923771858215
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Draco Malfoy , R2-D2,0.0,0.29213008284568787
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Draco Malfoy , C-3PO,0.0,0.2789723873138428
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Draco Malfoy , Darth Vader,0.0,0.8542475700378418
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Draco Malfoy , Grand Moff Tarkin,0.0,0.8542475700378418
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Draco Malfoy , Imperial Stormtroopers,0.0,0.5628471374511719
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Draco Malfoy , Owen Lars,0.0,0.3956489562988281
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Draco Malfoy , Beru Lars,0.0,0.29284417629241943
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Draco Malfoy , Jawas,0.0,0.6577196717262268
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Draco Malfoy , Jabba the Hutt,0.058823529411764705,1.0
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Neville Longbottom , Princess Leia Organa,0.0,0.29918476939201355
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Neville Longbottom , Luke Skywalker,0.058823529411764705,1.0000001192092896
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Neville Longbottom , Obi-Wan Kenobi,0.0,0.7098374962806702
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Neville Longbottom , Han Solo,0.0,0.7029278874397278
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Neville Longbottom , Chewbacca,0.058823529411764705,1.000000238418579
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Neville Longbottom , R2-D2,0.0,0.32542353868484497
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Neville Longbottom , C-3PO,0.0,0.27769845724105835
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Neville Longbottom , Darth Vader,0.0,0.6517907381057739
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Neville Longbottom , Grand Moff Tarkin,0.0,0.6741510629653931
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Neville Longbottom , Imperial Stormtroopers,0.0,0.7864453792572021
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Neville Longbottom , Owen Lars,0.0,0.8866145014762878
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Neville Longbottom , Beru Lars,0.0,0.671967625617981
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Neville Longbottom , Jawas,0.0,0.6639718413352966
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Neville Longbottom , Jabba the Hutt,0.058823529411764705,1.000000238418579
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Hedwig , Princess Leia Organa,0.0,0.28984135389328003
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Hedwig , Luke Skywalker,0.0,0.7029278874397278
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Hedwig , Obi-Wan Kenobi,0.0,0.8467833995819092
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Hedwig , Han Solo,0.058823529411764705,1.000000238418579
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Hedwig , Chewbacca,0.0,0.7022296190261841
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Hedwig , R2-D2,0.058823529411764705,1.0
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Hedwig , C-3PO,0.0,0.41076481342315674
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Hedwig , Darth Vader,0.0,0.6690088510513306
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Hedwig , Grand Moff Tarkin,0.0,0.6872003674507141
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Hedwig , Imperial Stormtroopers,0.058823529411764705,1.000000238418579
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Hedwig , Owen Lars,0.0,0.4165148138999939
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Hedwig , Beru Lars,0.0,0.8467833995819092
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Hedwig , Jawas,0.058823529411764705,1.000000238418579
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Hedwig , Jabba the Hutt,0.0,0.7022216320037842
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Fluffy , Princess Leia Organa,0.0,0.3167438507080078
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Fluffy , Luke Skywalker,0.0,0.7943195104598999
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Fluffy , Obi-Wan Kenobi,0.0,0.8467833995819092
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Fluffy , Han Solo,0.0,0.7083019018173218
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Fluffy , Chewbacca,0.0,0.6569204330444336
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Fluffy , R2-D2,0.0,0.8467833995819092
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Fluffy , C-3PO,0.0,0.3362293541431427
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Fluffy , Darth Vader,0.0,0.7069671750068665
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Fluffy , Grand Moff Tarkin,0.0,0.6503665447235107
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Fluffy , Imperial Stormtroopers,0.058823529411764705,1.000000238418579
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Fluffy , Owen Lars,0.0,0.4165148138999939
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Fluffy , Beru Lars,0.0,0.8467833995819092
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Fluffy , Jawas,0.058823529411764705,1.000000238418579
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Fluffy , Jabba the Hutt,0.0,0.7022216320037842
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Devil's Snare , Princess Leia Organa,0.0,0.31862568855285645
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Devil's Snare , Luke Skywalker,0.0,0.7943195104598999
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Devil's Snare , Obi-Wan Kenobi,0.0,0.7241705656051636
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Devil's Snare , Han Solo,0.0,0.7083019018173218
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Devil's Snare , Chewbacca,0.0,0.6569204330444336
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Devil's Snare , R2-D2,0.058823529411764705,1.0
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Devil's Snare , C-3PO,0.0,0.31459689140319824
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Devil's Snare , Darth Vader,0.0,0.7069671750068665
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Devil's Snare , Grand Moff Tarkin,0.0,0.6503665447235107
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Devil's Snare , Imperial Stormtroopers,0.058823529411764705,0.9999999403953552
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Devil's Snare , Owen Lars,0.0,0.6275176405906677
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Devil's Snare , Beru Lars,0.0,0.6677932143211365
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Devil's Snare , Jawas,0.058823529411764705,1.0
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Devil's Snare , Jabba the Hutt,0.058823529411764705,1.0
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Flying keys , Princess Leia Organa,0.0,0.31862568855285645
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Flying keys , Luke Skywalker,0.0,0.37041258811950684
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Flying keys , Obi-Wan Kenobi,0.0,0.38407987356185913
