Movie Pair,Character 1,Character 2,Jaccard,Cosine
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Harry Potter , Princess Leia Organa,0.0,0.39799728989601135
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Harry Potter , Luke Skywalker,0.2727272727272727,1.0
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Harry Potter , Obi-Wan Kenobi,0.0,0.3769899010658264
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Harry Potter , Han Solo,0.0,0.7531335949897766
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Harry Potter , Chewbacca,0.0,0.8159335851669312
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Harry Potter , R2-D2,0.0,0.34526342153549194
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Harry Potter , C-3PO,0.0,0.3027728199958801
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Harry Potter , Darth Vader,0.0,0.5065455436706543
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Harry Potter , Grand Moff Tarkin,0.0,0.5065455436706543
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Harry Potter , Imperial Stormtroopers,0.0,0.29013633728027344
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Harry Potter , Owen Lars,0.0,0.3453192114830017
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Harry Potter , Beru Lars,0.0,0.3453192114830017
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Harry Potter , Jawas,0.0,0.3769899010658264
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Harry Potter , Jabba the Hutt,0.0,0.8159335851669312
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Ron Weasley , Princess Leia Organa,0.0,0.6641485095024109
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Ron Weasley , Luke Skywalker,0.0,0.39688751101493835
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Ron Weasley , Obi-Wan Kenobi,0.0,1.0000001192092896
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Ron Weasley , Han Solo,0.0,0.7264059782028198
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Ron Weasley , Chewbacca,0.058823529411764705,1.000000238418579
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Ron Weasley , R2-D2,0.0,0.5424466729164124
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Ron Weasley , C-3PO,0.058823529411764705,1.000000238418579
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Ron Weasley , Darth Vader,0.0,0.6641485095024109
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Ron Weasley , Grand Moff Tarkin,0.058823529411764705,1.0000001192092896
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Ron Weasley , Imperial Stormtroopers,0.0,0.6420923471450806
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Ron Weasley , Owen Lars,0.0,0.6708670854568481
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Ron Weasley , Beru Lars,0.0,0.6708670854568481
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Ron Weasley , Jawas,0.14285714285714285,1.0000001192092896
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Ron Weasley , Jabba the Hutt,0.0,0.6641485095024109
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Hermione Granger , Princess Leia Organa,0.0,0.3212928771972656
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Hermione Granger , Luke Skywalker,0.0,0.4421308636665344
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Hermione Granger , Obi-Wan Kenobi,0.0,0.440468966960907
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Hermione Granger , Han Solo,0.0,1.0000001192092896
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Hermione Granger , Chewbacca,0.0,1.0000001192092896
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Hermione Granger , R2-D2,0.0,1.0000001192092896
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Hermione Granger , C-3PO,0.0,0.4055970311164856
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Hermione Granger , Darth Vader,0.0,0.3197594881057739
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Hermione Granger , Grand Moff Tarkin,0.0,0.33472421765327454
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Hermione Granger , Imperial Stormtroopers,0.0,0.2729797959327698
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Hermione Granger , Owen Lars,0.0,0.30743125081062317
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Hermione Granger , Beru Lars,0.0,0.27958905696868896
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Hermione Granger , Jawas,0.0,0.31438401341438293
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Hermione Granger , Jabba the Hutt,0.0,0.32542353868484497
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Albus Dumbledore , Princess Leia Organa,0.0,0.2727721631526947
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Albus Dumbledore , Luke Skywalker,0.058823529411764705,1.0000001192092896
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Albus Dumbledore , Obi-Wan Kenobi,0.058823529411764705,1.000000238418579
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Albus Dumbledore , Han Solo,0.0,0.4421308636665344
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Albus Dumbledore , Chewbacca,0.0,0.4421308636665344
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Albus Dumbledore , R2-D2,0.0,0.5390917062759399
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Albus Dumbledore , C-3PO,0.0,0.2688565254211426
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Albus Dumbledore , Darth Vader,0.0,0.27785980701446533
Harry Potter and the Philosopher's Stone (film) vs A New Hope,Albus Dumbledore , Grand Moff Tarkin,0.058823529411764705,1.0
